index;count
2021-05-21;142
2021-05-22;144
2021-05-23;148
2021-05-24;169
2021-05-25;169
2021-05-26;169
2021-05-27;169
2021-05-28;169
2021-05-29;169
2021-05-30;169
2021-05-31;169
2021-06-01;169
2021-06-02;169
2021-06-03;169
2021-06-04;169
2021-06-05;169
2021-06-06;169
2021-06-07;169
2021-06-08;169
2021-06-09;169
2021-06-10;169
2021-06-11;169
2021-06-12;169
2021-06-13;169
2021-06-14;169
2021-06-15;169
2021-06-16;169
2021-06-17;169
2021-06-18;169
2021-06-19;169
2021-06-20;169
2021-06-21;169
2021-06-22;169
2021-06-23;169
2021-06-24;169
2021-06-25;169
2021-06-26;169
2021-06-27;169
2021-06-28;169
2021-06-29;169
2021-06-30;169
2021-07-01;169
2021-07-02;169
2021-07-03;169
2021-07-04;169
2021-07-05;169
2021-07-06;220
2021-07-07;226
2021-07-08;226
2021-07-09;226
2021-07-10;226
2021-07-11;226
2021-07-12;226
2021-07-13;399
2021-07-14;399
2021-07-15;411
2021-07-16;420
