Dose Aplicada;Data;Quantidade
1ªDose;2021-01-19;2
1ªDose;2021-01-20;67
1ªDose;2021-01-21;3
1ªDose;2021-01-22;3
1ªDose;2021-01-26;3
1ªDose;2021-01-28;35
1ªDose;2021-02-01;1
1ªDose;2021-02-02;1
1ªDose;2021-02-03;12
1ªDose;2021-02-10;9
1ªDose;2021-02-11;10
1ªDose;2021-02-12;15
1ªDose;2021-02-15;1
1ªDose;2021-02-17;13
1ªDose;2021-02-18;10
1ªDose;2021-02-19;1
1ªDose;2021-02-22;5
1ªDose;2021-02-25;5
1ªDose;2021-02-26;4
1ªDose;2021-03-02;11
1ªDose;2021-03-03;12
1ªDose;2021-03-10;19
1ªDose;2021-03-11;5
1ªDose;2021-03-17;9
1ªDose;2021-03-21;4
1ªDose;2021-03-22;1
1ªDose;2021-03-23;18
1ªDose;2021-03-24;7
1ªDose;2021-03-25;14
1ªDose;2021-03-26;43
1ªDose;2021-03-29;1
1ªDose;2021-04-01;286
1ªDose;2021-04-06;18
1ªDose;2021-04-07;8
1ªDose;2021-04-08;75
1ªDose;2021-04-09;1
1ªDose;2021-04-12;18
1ªDose;2021-04-13;8
1ªDose;2021-04-14;1
1ªDose;2021-04-15;24
1ªDose;2021-04-16;3
1ªDose;2021-04-20;2
1ªDose;2021-04-22;1
1ªDose;2021-04-27;1
1ªDose;2021-04-28;1
2ªDose;2021-01-22;1
2ªDose;2021-02-11;1
2ªDose;2021-02-17;45
2ªDose;2021-02-18;10
2ªDose;2021-02-19;3
2ªDose;2021-02-20;2
2ªDose;2021-02-22;4
2ªDose;2021-02-24;1
2ªDose;2021-02-25;14
2ªDose;2021-03-09;8
2ªDose;2021-03-10;18
2ªDose;2021-03-11;16
2ªDose;2021-03-12;1
2ªDose;2021-03-15;12
2ªDose;2021-03-16;2
2ªDose;2021-03-17;1
2ªDose;2021-03-23;10
2ªDose;2021-04-05;12
2ªDose;2021-04-08;10
2ªDose;2021-04-13;19
2ªDose;2021-04-16;6
2ªDose;2021-04-19;12
2ªDose;2021-04-22;13
2ªDose;2021-04-26;7
