Dose Aplicada;Data;Quantidade
1ªDose;2021-01-21;4
1ªDose;2021-01-26;7
1ªDose;2021-02-03;10
1ªDose;2021-02-08;9
1ªDose;2021-02-09;3
1ªDose;2021-02-10;13
1ªDose;2021-02-11;9
1ªDose;2021-02-17;49
1ªDose;2021-02-18;5
1ªDose;2021-02-24;8
1ªDose;2021-02-27;20
1ªDose;2021-03-01;35
1ªDose;2021-03-02;9
1ªDose;2021-03-05;1
1ªDose;2021-03-12;2
1ªDose;2021-03-13;2
1ªDose;2021-03-15;20
1ªDose;2021-03-16;10
1ªDose;2021-03-17;24
1ªDose;2021-03-18;25
1ªDose;2021-03-19;33
1ªDose;2021-03-22;1
1ªDose;2021-03-23;11
1ªDose;2021-03-24;72
1ªDose;2021-03-25;25
1ªDose;2021-03-26;35
1ªDose;2021-03-29;33
1ªDose;2021-03-30;44
1ªDose;2021-03-31;1
1ªDose;2021-04-01;15
1ªDose;2021-04-05;68
1ªDose;2021-04-06;30
1ªDose;2021-04-07;12
1ªDose;2021-04-08;5
1ªDose;2021-04-12;10
1ªDose;2021-04-13;27
1ªDose;2021-04-14;1
1ªDose;2021-04-15;9
1ªDose;2021-04-17;21
1ªDose;2021-04-19;18
1ªDose;2021-04-20;9
2ªDose;2021-01-26;2
2ªDose;2021-02-12;3
2ªDose;2021-03-08;1
2ªDose;2021-03-09;20
2ªDose;2021-03-12;24
2ªDose;2021-03-13;7
2ªDose;2021-03-14;20
2ªDose;2021-03-15;12
2ªDose;2021-03-17;5
2ªDose;2021-03-18;6
2ªDose;2021-03-19;1
2ªDose;2021-03-24;1
2ªDose;2021-03-26;1
2ªDose;2021-03-29;2
2ªDose;2021-03-30;1
2ªDose;2021-04-05;6
2ªDose;2021-04-06;9
2ªDose;2021-04-09;1
2ªDose;2021-04-12;37
2ªDose;2021-04-13;14
2ªDose;2021-04-15;9
2ªDose;2021-04-16;7
2ªDose;2021-04-19;21
2ªDose;2021-04-20;18
2ªDose;2021-04-22;10
2ªDose;2021-04-23;1
2ªDose;2021-04-26;14
2ªDose;2021-04-29;6
