index;count
2021-06-01;8
2021-06-02;8
2021-06-03;8
2021-06-04;8
2021-06-05;8
2021-06-06;8
2021-06-07;17
2021-06-08;17
2021-06-09;17
2021-06-10;17
2021-06-11;17
2021-06-12;17
2021-06-13;17
2021-06-14;17
2021-06-15;17
2021-06-16;17
2021-06-17;17
2021-06-18;17
2021-06-19;17
2021-06-20;17
2021-06-21;17
2021-06-22;17
2021-06-23;17
2021-06-24;17
2021-06-25;17
2021-06-26;17
2021-06-27;17
2021-06-28;17
2021-06-29;17
2021-06-30;17
2021-07-01;17
2021-07-02;17
2021-07-03;17
2021-07-04;17
2021-07-05;17
2021-07-06;17
2021-07-07;26
2021-07-08;26
2021-07-09;43
2021-07-10;43
2021-07-11;43
2021-07-12;43
2021-07-13;45
2021-07-14;45
2021-07-15;45
2021-07-16;45
2021-07-17;45
2021-07-18;45
2021-07-19;62
2021-07-20;62
2021-07-21;70
2021-07-22;73
