Data;Quantidade;Dose Aplicada
2021-03-23;222;1ªDose
2021-03-23;29;2ªDose
2021-02-24;42;1ªDose
2021-02-24;100;2ªDose
2021-02-19;19;1ªDose
2021-02-19;148;2ªDose
2021-03-24;107;1ªDose
2021-03-24;46;2ªDose
2021-03-30;318;1ªDose
2021-03-30;1;2ªDose
2021-02-12;22;1ªDose
2021-02-12;16;2ªDose
2021-03-12;53;1ªDose
2021-03-12;1;2ªDose
2021-04-01;31;1ªDose
2021-04-01;7;2ªDose
2021-03-29;264;1ªDose
2021-03-29;2;2ªDose
2021-04-05;375;1ªDose
2021-04-05;65;2ªDose
2021-04-06;244;1ªDose
2021-04-06;45;2ªDose
2021-03-04;97;1ªDose
2021-03-04;6;2ªDose
2021-04-13;6;1ªDose
2021-04-13;222;2ªDose
2021-03-22;196;1ªDose
2021-03-22;2;2ªDose
2021-04-15;32;1ªDose
2021-04-15;59;2ªDose
2021-02-01;150;1ªDose
2021-02-01;1;2ªDose
2021-03-08;22;1ªDose
2021-03-08;7;2ªDose
2021-04-14;13;1ªDose
2021-04-14;106;2ªDose
2021-01-25;21;1ªDose
2021-01-25;1;2ªDose
2021-04-16;18;1ªDose
2021-04-16;73;2ªDose
2021-04-09;44;1ªDose
2021-04-09;5;2ªDose
2021-03-17;28;1ªDose
2021-03-17;10;2ªDose
2021-02-08;31;1ªDose
2021-02-08;0;2ªDose
2021-01-27;183;1ªDose
2021-01-27;0;2ªDose
2021-01-29;140;1ªDose
2021-01-29;0;2ªDose
2021-04-07;131;1ªDose
2021-04-07;57;2ªDose
2021-04-08;81;1ªDose
2021-04-08;38;2ªDose
2021-04-17;80;1ªDose
2021-04-17;2;2ªDose
2021-01-28;88;1ªDose
2021-01-28;0;2ªDose
2021-03-18;67;1ªDose
2021-03-18;6;2ªDose
2021-04-03;47;1ªDose
2021-04-03;14;2ªDose
2021-03-31;143;1ªDose
2021-03-31;5;2ªDose
2021-02-22;1;1ªDose
2021-02-22;177;2ªDose
2021-02-26;28;1ªDose
2021-02-26;74;2ªDose
2021-02-23;0;1ªDose
2021-02-23;101;2ªDose
2021-02-02;43;1ªDose
2021-02-02;0;2ªDose
2021-03-05;69;1ªDose
2021-03-05;11;2ªDose
2021-03-01;9;1ªDose
2021-03-01;48;2ªDose
2021-03-10;39;1ªDose
2021-03-10;11;2ªDose
2021-02-25;47;1ªDose
2021-02-25;40;2ªDose
2021-03-16;13;1ªDose
2021-03-16;17;2ªDose
2021-04-12;26;1ªDose
2021-04-12;163;2ªDose
2021-03-03;48;1ªDose
2021-03-03;11;2ªDose
2021-01-30;29;1ªDose
2021-01-30;0;2ªDose
2021-03-25;64;1ªDose
2021-03-25;8;2ªDose
2021-04-10;29;1ªDose
2021-04-10;1;2ªDose
2021-03-11;92;1ªDose
2021-03-11;15;2ªDose
2021-03-15;21;1ªDose
2021-03-15;2;2ªDose
2021-02-05;62;1ªDose
2021-02-05;0;2ªDose
2021-02-09;26;1ªDose
2021-02-09;0;2ªDose
2021-02-04;63;1ªDose
2021-02-04;0;2ªDose
2021-03-02;22;1ªDose
2021-03-02;11;2ªDose
2021-03-09;30;1ªDose
2021-03-09;2;2ªDose
2021-02-03;44;1ªDose
2021-02-03;0;2ªDose
2021-01-21;35;1ªDose
2021-01-21;0;2ªDose
2021-03-26;76;1ªDose
2021-03-26;6;2ªDose
2021-02-11;5;1ªDose
2021-02-11;24;2ªDose
2021-02-18;12;1ªDose
2021-02-18;29;2ªDose
2021-04-21;110;1ªDose
2021-04-21;59;2ªDose
2021-03-19;35;1ªDose
2021-03-19;2;2ªDose
2021-01-22;11;1ªDose
2021-01-22;0;2ªDose
2021-04-11;8;1ªDose
2021-04-11;0;2ªDose
2021-04-19;41;1ªDose
2021-04-19;394;2ªDose
2021-04-22;67;1ªDose
2021-04-22;26;2ªDose
2021-01-26;56;1ªDose
2021-01-26;0;2ªDose
2021-04-28;16;1ªDose
2021-04-28;8;2ªDose
2021-02-10;2;1ªDose
2021-02-10;0;2ªDose
2021-04-26;17;1ªDose
2021-04-26;12;2ªDose
2021-04-23;61;1ªDose
2021-04-23;18;2ªDose
2021-04-24;26;1ªDose
2021-04-24;10;2ªDose
2021-03-20;1;1ªDose
2021-03-20;0;2ªDose
2021-01-23;1;1ªDose
2021-01-23;0;2ªDose
