Data;Quantidade;Dose Aplicada
2021-02-25;83;1ªDose
2021-02-25;1;2ªDose
2021-04-10;45;1ªDose
2021-04-10;0;2ªDose
2021-03-25;339;1ªDose
2021-03-25;62;2ªDose
2021-03-08;20;1ªDose
2021-03-08;0;2ªDose
2021-03-18;238;1ªDose
2021-03-18;15;2ªDose
2021-03-31;29;1ªDose
2021-03-31;0;2ªDose
2021-03-24;198;1ªDose
2021-03-24;53;2ªDose
2021-04-15;51;1ªDose
2021-04-15;180;2ªDose
2021-04-12;43;1ªDose
2021-04-12;36;2ªDose
2021-04-07;145;1ªDose
2021-04-07;64;2ªDose
2021-03-26;330;1ªDose
2021-03-26;0;2ªDose
2021-04-06;32;1ªDose
2021-04-06;109;2ªDose
2021-03-30;341;1ªDose
2021-03-30;2;2ªDose
2021-03-27;55;1ªDose
2021-03-27;0;2ªDose
2021-04-08;153;1ªDose
2021-04-08;73;2ªDose
2021-01-22;77;1ªDose
2021-01-22;0;2ªDose
2021-04-14;45;1ªDose
2021-04-14;105;2ªDose
2021-04-09;248;1ªDose
2021-04-09;0;2ªDose
2021-03-04;194;1ªDose
2021-03-04;0;2ªDose
2021-03-17;84;1ªDose
2021-03-17;0;2ªDose
2021-04-13;151;1ªDose
2021-04-13;46;2ªDose
2021-03-11;110;1ªDose
2021-03-11;5;2ªDose
2021-02-23;23;1ªDose
2021-02-23;28;2ªDose
2021-04-11;153;1ªDose
2021-04-11;0;2ªDose
2021-03-05;54;1ªDose
2021-03-05;3;2ªDose
2021-01-29;27;1ªDose
2021-01-29;0;2ªDose
2021-01-26;11;1ªDose
2021-01-26;0;2ªDose
2021-03-02;0;1ªDose
2021-03-02;5;2ªDose
2021-04-03;44;1ªDose
2021-04-03;0;2ªDose
2021-02-02;50;1ªDose
2021-02-02;0;2ªDose
2021-02-10;21;1ªDose
2021-02-10;0;2ªDose
2021-02-04;32;1ªDose
2021-02-04;0;2ªDose
2021-03-29;90;1ªDose
2021-03-29;27;2ªDose
2021-03-19;30;1ªDose
2021-03-19;0;2ªDose
2021-02-12;2;1ªDose
2021-02-12;70;2ªDose
2021-02-05;10;1ªDose
2021-02-05;0;2ªDose
2021-03-09;1;1ªDose
2021-03-09;1;2ªDose
2021-02-19;0;1ªDose
2021-02-19;4;2ªDose
2021-03-23;0;1ªDose
2021-03-23;17;2ªDose
2021-02-09;26;1ªDose
2021-02-09;0;2ªDose
2021-03-16;0;1ªDose
2021-03-16;24;2ªDose
2021-03-10;20;1ªDose
2021-03-10;0;2ªDose
2021-02-11;34;1ªDose
2021-02-11;0;2ªDose
2021-02-08;45;1ªDose
2021-02-08;0;2ªDose
2021-03-12;13;1ªDose
2021-03-12;0;2ªDose
2021-04-19;4;1ªDose
2021-04-19;292;2ªDose
2021-04-20;32;1ªDose
2021-04-20;213;2ªDose
2021-04-22;111;1ªDose
2021-04-22;82;2ªDose
2021-04-21;25;1ªDose
2021-04-21;8;2ªDose
2021-04-05;0;1ªDose
2021-04-05;4;2ªDose
2021-03-15;1;1ªDose
2021-03-15;2;2ªDose
2021-02-18;1;1ªDose
2021-02-18;7;2ªDose
2021-04-16;0;1ªDose
2021-04-16;45;2ªDose
2021-03-01;0;1ªDose
2021-03-01;4;2ªDose
2021-02-26;1;1ªDose
2021-02-26;3;2ªDose
2021-04-28;1;1ªDose
2021-04-28;42;2ªDose
2021-04-29;13;1ªDose
2021-04-29;70;2ªDose
2021-04-27;14;1ªDose
2021-04-27;14;2ªDose
2021-04-26;11;1ªDose
2021-04-26;0;2ªDose
2021-04-24;27;1ªDose
2021-04-24;0;2ªDose
2021-04-23;18;1ªDose
2021-04-23;0;2ªDose
2021-04-04;4;1ªDose
2021-04-04;0;2ªDose
2021-02-03;1;1ªDose
2021-02-03;0;2ªDose
2021-02-22;1;1ªDose
2021-02-22;0;2ªDose
2021-01-27;1;1ªDose
2021-01-27;0;2ªDose
