Data;Quantidade;Dose Aplicada
2021-03-23;69;1ªDose
2021-03-23;0;2ªDose
2021-03-26;207;1ªDose
2021-03-26;23;2ªDose
2021-04-09;20;1ªDose
2021-04-09;36;2ªDose
2021-03-17;89;1ªDose
2021-03-17;1;2ªDose
2021-04-08;29;1ªDose
2021-04-08;0;2ªDose
2021-03-24;23;1ªDose
2021-03-24;0;2ªDose
2021-04-06;112;1ªDose
2021-04-06;26;2ªDose
2021-03-18;20;1ªDose
2021-03-18;0;2ªDose
2021-03-05;28;1ªDose
2021-03-05;32;2ªDose
2021-03-29;80;1ªDose
2021-03-29;0;2ªDose
2021-01-29;93;1ªDose
2021-01-29;1;2ªDose
2021-03-04;21;1ªDose
2021-03-04;0;2ªDose
2021-03-31;141;1ªDose
2021-03-31;4;2ªDose
2021-02-19;10;1ªDose
2021-02-19;6;2ªDose
2021-03-19;10;1ªDose
2021-03-19;0;2ªDose
2021-04-13;2;1ªDose
2021-04-13;32;2ªDose
2021-01-25;6;1ªDose
2021-01-25;0;2ªDose
2021-02-18;0;1ªDose
2021-02-18;35;2ªDose
2021-04-16;13;1ªDose
2021-04-16;86;2ªDose
2021-04-19;2;1ªDose
2021-04-19;75;2ªDose
2021-04-07;14;1ªDose
2021-04-07;63;2ªDose
2021-03-22;7;1ªDose
2021-03-22;0;2ªDose
2021-04-14;2;1ªDose
2021-04-14;17;2ªDose
2021-03-15;0;1ªDose
2021-03-15;9;2ªDose
2021-03-25;20;1ªDose
2021-03-25;0;2ªDose
2021-01-28;5;1ªDose
2021-01-28;0;2ªDose
2021-04-12;0;1ªDose
2021-04-12;43;2ªDose
2021-03-03;21;1ªDose
2021-03-03;8;2ªDose
2021-02-12;39;1ªDose
2021-02-12;0;2ªDose
2021-01-27;9;1ªDose
2021-01-27;0;2ªDose
2021-01-23;13;1ªDose
2021-01-23;0;2ªDose
2021-04-21;7;1ªDose
2021-04-21;80;2ªDose
2021-03-16;9;1ªDose
2021-03-16;0;2ªDose
2021-03-09;7;1ªDose
2021-03-09;5;2ªDose
2021-04-22;51;1ªDose
2021-04-22;0;2ªDose
2021-04-15;0;1ªDose
2021-04-15;10;2ªDose
2021-02-22;0;1ªDose
2021-02-22;4;2ªDose
2021-02-25;0;1ªDose
2021-02-25;1;2ªDose
2021-04-27;1;1ªDose
2021-04-27;70;2ªDose
2021-03-06;1;1ªDose
2021-03-06;0;2ªDose
2021-01-26;8;1ªDose
2021-01-26;0;2ªDose
2021-04-02;1;1ªDose
2021-04-02;0;2ªDose
2021-04-17;0;1ªDose
2021-04-17;1;2ªDose
2021-01-21;1;1ªDose
2021-01-21;0;2ªDose
