Data;Quantidade;Dose Aplicada
2021-02-02;40;1ªDose
2021-02-02;0;2ªDose
2021-03-05;52;1ªDose
2021-03-05;10;2ªDose
2021-02-03;43;1ªDose
2021-02-03;0;2ªDose
2021-03-26;114;1ªDose
2021-03-26;19;2ªDose
2021-04-14;40;1ªDose
2021-04-14;71;2ªDose
2021-03-30;182;1ªDose
2021-03-30;16;2ªDose
2021-03-17;46;1ªDose
2021-03-17;6;2ªDose
2021-03-03;31;1ªDose
2021-03-03;0;2ªDose
2021-04-16;21;1ªDose
2021-04-16;18;2ªDose
2021-03-24;74;1ªDose
2021-03-24;1;2ªDose
2021-04-06;98;1ªDose
2021-04-06;34;2ªDose
2021-04-13;160;1ªDose
2021-04-13;120;2ªDose
2021-04-07;168;1ªDose
2021-04-07;85;2ªDose
2021-03-25;90;1ªDose
2021-03-25;0;2ªDose
2021-02-04;50;1ªDose
2021-02-04;1;2ªDose
2021-03-29;177;1ªDose
2021-03-29;0;2ªDose
2021-01-21;28;1ªDose
2021-01-21;0;2ªDose
2021-03-12;31;1ªDose
2021-03-12;2;2ªDose
2021-04-09;123;1ªDose
2021-04-09;135;2ªDose
2021-04-15;39;1ªDose
2021-04-15;60;2ªDose
2021-03-19;88;1ªDose
2021-03-19;13;2ªDose
2021-03-23;63;1ªDose
2021-03-23;1;2ªDose
2021-02-19;0;1ªDose
2021-02-19;21;2ªDose
2021-03-18;40;1ªDose
2021-03-18;10;2ªDose
2021-03-31;238;1ªDose
2021-03-31;3;2ªDose
2021-01-28;22;1ªDose
2021-01-28;0;2ªDose
2021-02-11;31;1ªDose
2021-02-11;21;2ªDose
2021-02-05;20;1ªDose
2021-02-05;0;2ªDose
2021-03-02;19;1ªDose
2021-03-02;0;2ªDose
2021-04-03;239;1ªDose
2021-04-03;1;2ªDose
2021-02-18;0;1ªDose
2021-02-18;13;2ªDose
2021-03-10;42;1ªDose
2021-03-10;0;2ªDose
2021-04-12;41;1ªDose
2021-04-12;91;2ªDose
2021-03-22;73;1ªDose
2021-03-22;0;2ªDose
2021-01-22;28;1ªDose
2021-01-22;0;2ªDose
2021-02-08;30;1ªDose
2021-02-08;0;2ªDose
2021-04-08;101;1ªDose
2021-04-08;37;2ªDose
2021-03-11;28;1ªDose
2021-03-11;0;2ªDose
2021-02-12;24;1ªDose
2021-02-12;29;2ªDose
2021-03-16;44;1ªDose
2021-03-16;6;2ªDose
2021-01-29;20;1ªDose
2021-01-29;0;2ªDose
2021-03-15;53;1ªDose
2021-03-15;17;2ªDose
2021-03-08;62;1ªDose
2021-03-08;0;2ªDose
2021-03-04;42;1ªDose
2021-03-04;0;2ªDose
2021-02-01;31;1ªDose
2021-02-01;0;2ªDose
2021-04-21;252;1ªDose
2021-04-21;82;2ªDose
2021-04-20;7;1ªDose
2021-04-20;208;2ªDose
2021-02-10;16;1ªDose
2021-02-10;0;2ªDose
2021-03-09;28;1ªDose
2021-03-09;0;2ªDose
2021-04-22;20;1ªDose
2021-04-22;0;2ªDose
2021-01-31;4;1ªDose
2021-01-31;0;2ªDose
2021-04-26;30;1ªDose
2021-04-26;0;2ªDose
2021-04-28;0;1ªDose
2021-04-28;23;2ªDose
2021-01-30;1;1ªDose
2021-01-30;0;2ªDose
2021-01-25;3;1ªDose
2021-01-25;0;2ªDose
2021-01-26;1;1ªDose
2021-01-26;0;2ªDose
2021-02-17;0;1ªDose
2021-02-17;1;2ªDose
2021-01-27;1;1ªDose
2021-01-27;0;2ªDose
2021-01-23;2;1ªDose
2021-01-23;0;2ªDose
