Data;Quantidade;Dose Aplicada
2021-02-11;43;1ªDose
2021-02-11;37;2ªDose
2021-03-10;71;1ªDose
2021-03-10;100;2ªDose
2021-03-27;1030;1ªDose
2021-03-27;1;2ªDose
2021-04-03;1321;1ªDose
2021-04-03;11;2ªDose
2021-03-26;169;1ªDose
2021-03-26;0;2ªDose
2021-02-12;51;1ªDose
2021-02-12;43;2ªDose
2021-04-16;4;1ªDose
2021-04-16;127;2ªDose
2021-04-15;162;1ªDose
2021-04-15;190;2ªDose
2021-04-07;545;1ªDose
2021-04-07;2;2ªDose
2021-03-05;36;1ªDose
2021-03-05;41;2ªDose
2021-03-23;132;1ªDose
2021-03-23;58;2ªDose
2021-03-25;174;1ªDose
2021-03-25;0;2ªDose
2021-03-16;84;1ªDose
2021-03-16;24;2ªDose
2021-04-14;0;1ªDose
2021-04-14;54;2ªDose
2021-03-18;128;1ªDose
2021-03-18;0;2ªDose
2021-01-21;53;1ªDose
2021-01-21;0;2ªDose
2021-04-17;322;1ªDose
2021-04-17;558;2ªDose
2021-04-10;236;1ªDose
2021-04-10;0;2ªDose
2021-03-24;141;1ªDose
2021-03-24;14;2ªDose
2021-02-09;32;1ªDose
2021-02-09;0;2ªDose
2021-04-13;1;1ªDose
2021-04-13;128;2ªDose
2021-03-31;229;1ªDose
2021-03-31;1;2ªDose
2021-02-08;24;1ªDose
2021-02-08;0;2ªDose
2021-01-22;63;1ªDose
2021-01-22;0;2ªDose
2021-01-27;49;1ªDose
2021-01-27;0;2ªDose
2021-03-04;26;1ªDose
2021-03-04;38;2ªDose
2021-03-08;119;1ªDose
2021-03-08;0;2ªDose
2021-01-20;33;1ªDose
2021-01-20;0;2ªDose
2021-03-02;69;1ªDose
2021-03-02;20;2ªDose
2021-01-28;61;1ªDose
2021-01-28;0;2ªDose
2021-02-17;87;1ªDose
2021-02-17;14;2ªDose
2021-02-18;3;1ªDose
2021-02-18;37;2ªDose
2021-02-25;0;1ªDose
2021-02-25;11;2ªDose
2021-04-08;59;1ªDose
2021-04-08;50;2ªDose
2021-02-04;32;1ªDose
2021-02-04;0;2ªDose
2021-02-24;0;1ªDose
2021-02-24;32;2ªDose
2021-02-02;35;1ªDose
2021-02-02;0;2ªDose
2021-02-23;0;1ªDose
2021-02-23;39;2ªDose
2021-02-22;0;1ªDose
2021-02-22;58;2ªDose
2021-01-25;24;1ªDose
2021-01-25;0;2ªDose
2021-02-19;18;1ªDose
2021-02-19;30;2ªDose
2021-03-03;64;1ªDose
2021-03-03;2;2ªDose
2021-02-26;44;1ªDose
2021-02-26;11;2ªDose
2021-02-03;50;1ªDose
2021-02-03;0;2ªDose
2021-03-01;0;1ªDose
2021-03-01;18;2ªDose
2021-01-29;23;1ªDose
2021-01-29;0;2ªDose
2021-02-01;50;1ªDose
2021-02-01;0;2ªDose
2021-03-09;85;1ªDose
2021-03-09;3;2ªDose
2021-02-10;15;1ªDose
2021-02-10;23;2ªDose
2021-03-12;0;1ªDose
2021-03-12;17;2ªDose
2021-03-22;0;1ªDose
2021-03-22;48;2ªDose
2021-02-05;27;1ªDose
2021-02-05;0;2ªDose
2021-04-09;28;1ªDose
2021-04-09;2;2ªDose
2021-04-22;82;1ªDose
2021-04-22;73;2ªDose
2021-03-29;0;1ªDose
2021-03-29;44;2ªDose
2021-03-11;0;1ªDose
2021-03-11;4;2ªDose
2021-01-26;11;1ªDose
2021-01-26;0;2ªDose
2021-04-20;69;1ªDose
2021-04-20;26;2ªDose
2021-03-30;14;1ªDose
2021-03-30;3;2ªDose
2021-04-23;117;1ªDose
2021-04-23;39;2ªDose
2021-04-12;2;1ªDose
2021-04-12;0;2ªDose
2021-04-06;0;1ªDose
2021-04-06;65;2ªDose
2021-04-29;2;1ªDose
2021-04-29;2;2ªDose
2021-04-19;0;1ªDose
2021-04-19;4;2ªDose
2021-04-26;1;1ªDose
2021-04-26;0;2ªDose
2021-04-18;4;1ªDose
2021-04-18;5;2ªDose
2021-03-19;1;1ªDose
2021-03-19;0;2ªDose
2021-04-05;9;1ªDose
2021-04-05;0;2ªDose
2021-04-24;88;1ªDose
2021-04-24;435;2ªDose
2021-04-04;2;1ªDose
2021-04-04;0;2ªDose
