Data;Quantidade;Dose Aplicada
2021-02-09;29;1ªDose
2021-02-09;0;2ªDose
2021-03-31;37;1ªDose
2021-03-31;10;2ªDose
2021-04-07;140;1ªDose
2021-04-07;0;2ªDose
2021-03-12;9;1ªDose
2021-03-12;0;2ªDose
2021-04-08;19;1ªDose
2021-04-08;0;2ªDose
2021-03-30;132;1ªDose
2021-03-30;11;2ªDose
2021-01-26;6;1ªDose
2021-01-26;0;2ªDose
2021-04-13;45;1ªDose
2021-04-13;60;2ªDose
2021-03-08;4;1ªDose
2021-03-08;7;2ªDose
2021-04-19;2;1ªDose
2021-04-19;18;2ªDose
2021-04-12;0;1ªDose
2021-04-12;27;2ªDose
2021-02-22;11;1ªDose
2021-02-22;7;2ªDose
2021-03-24;37;1ªDose
2021-03-24;0;2ªDose
2021-02-18;0;1ªDose
2021-02-18;7;2ªDose
2021-02-12;9;1ªDose
2021-02-12;13;2ªDose
2021-04-14;7;1ªDose
2021-04-14;49;2ªDose
2021-03-17;5;1ªDose
2021-03-17;5;2ªDose
2021-04-09;6;1ªDose
2021-04-09;12;2ªDose
2021-02-08;20;1ªDose
2021-02-08;0;2ªDose
2021-03-29;59;1ªDose
2021-03-29;0;2ªDose
2021-03-15;4;1ªDose
2021-03-15;0;2ªDose
2021-03-22;59;1ªDose
2021-03-22;0;2ªDose
2021-03-23;53;1ªDose
2021-03-23;0;2ªDose
2021-02-04;29;1ªDose
2021-02-04;0;2ªDose
2021-04-05;64;1ªDose
2021-04-05;0;2ªDose
2021-04-06;51;1ªDose
2021-04-06;27;2ªDose
2021-03-05;21;1ªDose
2021-03-05;10;2ªDose
2021-01-25;7;1ªDose
2021-01-25;0;2ªDose
2021-03-09;18;1ªDose
2021-03-09;0;2ªDose
2021-04-15;7;1ªDose
2021-04-15;18;2ªDose
2021-03-16;21;1ªDose
2021-03-16;0;2ªDose
2021-03-02;31;1ªDose
2021-03-02;0;2ªDose
2021-03-25;22;1ªDose
2021-03-25;9;2ªDose
2021-02-10;10;1ªDose
2021-02-10;0;2ªDose
2021-04-21;31;1ªDose
2021-04-21;10;2ªDose
2021-03-04;23;1ªDose
2021-03-04;0;2ªDose
2021-04-20;15;1ªDose
2021-04-20;93;2ªDose
2021-01-22;13;1ªDose
2021-01-22;0;2ªDose
2021-01-27;2;1ªDose
2021-01-27;0;2ªDose
2021-04-16;2;1ªDose
2021-04-16;18;2ªDose
2021-04-22;4;1ªDose
2021-04-22;0;2ªDose
2021-03-10;11;1ªDose
2021-03-10;0;2ªDose
2021-04-27;10;1ªDose
2021-04-27;27;2ªDose
2021-04-29;0;1ªDose
2021-04-29;7;2ªDose
2021-03-19;10;1ªDose
2021-03-19;0;2ªDose
2021-04-26;8;1ªDose
2021-04-26;9;2ªDose
2021-03-26;17;1ªDose
2021-03-26;0;2ªDose
2021-02-17;0;1ªDose
2021-02-17;3;2ªDose
2021-04-28;3;1ªDose
2021-04-28;10;2ªDose
2021-02-23;0;1ªDose
2021-02-23;1;2ªDose
2021-02-15;0;1ªDose
2021-02-15;2;2ªDose
2021-02-16;0;1ªDose
2021-02-16;2;2ªDose
2021-01-28;2;1ªDose
2021-01-28;0;2ªDose
2021-02-19;0;1ªDose
2021-02-19;2;2ªDose
