index;count
2021-05-24;4
2021-05-25;37
2021-05-26;45
2021-05-27;92
2021-05-28;123
2021-05-29;123
2021-05-30;123
2021-05-31;156
2021-06-01;161
2021-06-02;169
2021-06-03;169
2021-06-04;169
2021-06-05;169
2021-06-06;169
2021-06-07;169
2021-06-08;169
2021-06-09;169
2021-06-10;169
2021-06-11;169
2021-06-12;169
2021-06-13;169
2021-06-14;169
2021-06-15;169
2021-06-16;169
2021-06-17;169
2021-06-18;169
2021-06-19;169
2021-06-20;169
2021-06-21;169
2021-06-22;169
2021-06-23;169
2021-06-24;169
2021-06-25;169
2021-06-26;169
2021-06-27;169
2021-06-28;169
2021-06-29;169
2021-06-30;169
2021-07-01;169
2021-07-02;169
2021-07-03;169
2021-07-04;169
2021-07-05;169
2021-07-06;239
2021-07-07;255
2021-07-08;276
2021-07-09;293
2021-07-10;293
2021-07-11;293
2021-07-12;316
2021-07-13;384
2021-07-14;384
2021-07-15;441
2021-07-16;516
2021-07-17;522
2021-07-18;522
2021-07-19;537
2021-07-20;585
2021-07-21;644
2021-07-22;644
2021-07-23;660
