Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;4
1ªDose;2021-01-26;24
1ªDose;2021-01-27;10
1ªDose;2021-01-29;1
1ªDose;2021-02-01;1
1ªDose;2021-02-02;30
1ªDose;2021-02-03;27
1ªDose;2021-02-05;7
1ªDose;2021-02-09;64
1ªDose;2021-02-10;10
1ªDose;2021-02-12;27
1ªDose;2021-02-19;7
1ªDose;2021-02-22;6
1ªDose;2021-02-23;4
1ªDose;2021-03-02;46
1ªDose;2021-03-03;28
1ªDose;2021-03-04;20
1ªDose;2021-03-08;50
1ªDose;2021-03-09;10
1ªDose;2021-03-10;19
1ªDose;2021-03-11;21
1ªDose;2021-03-12;211
1ªDose;2021-03-15;13
1ªDose;2021-03-18;196
1ªDose;2021-03-22;31
1ªDose;2021-03-23;395
1ªDose;2021-03-24;41
1ªDose;2021-03-25;1
1ªDose;2021-03-29;369
1ªDose;2021-03-30;11
1ªDose;2021-03-31;13
1ªDose;2021-04-05;181
1ªDose;2021-04-07;18
1ªDose;2021-04-12;69
1ªDose;2021-04-13;15
1ªDose;2021-04-16;5
1ªDose;2021-04-19;36
1ªDose;2021-04-22;8
1ªDose;2021-04-26;20
1ªDose;2021-04-27;7
1ªDose;2021-04-28;4
2ªDose;2021-02-16;23
2ªDose;2021-02-17;11
2ªDose;2021-02-18;13
2ªDose;2021-02-19;4
2ªDose;2021-02-22;5
2ªDose;2021-02-23;1
2ªDose;2021-03-01;2
2ªDose;2021-03-02;2
2ªDose;2021-03-03;11
2ªDose;2021-03-04;29
2ªDose;2021-03-05;20
2ªDose;2021-03-08;1
2ªDose;2021-03-09;22
2ªDose;2021-03-10;37
2ªDose;2021-03-11;10
2ªDose;2021-03-12;8
2ªDose;2021-03-15;23
2ªDose;2021-03-16;1
2ªDose;2021-03-22;19
2ªDose;2021-03-23;1
2ªDose;2021-03-24;3
2ªDose;2021-03-29;1
2ªDose;2021-04-05;10
2ªDose;2021-04-06;10
2ªDose;2021-04-07;26
2ªDose;2021-04-08;22
2ªDose;2021-04-09;128
2ªDose;2021-04-12;73
2ªDose;2021-04-13;10
2ªDose;2021-04-15;102
2ªDose;2021-04-16;34
2ªDose;2021-04-19;46
2ªDose;2021-04-20;137
2ªDose;2021-04-22;11
2ªDose;2021-04-26;193
2ªDose;2021-04-27;23
